Titel,Auteur,Tags,Locatie,Goodreads Link,Graad,ISBN,Link coverafbeelding
DOOS,Do Van Ranst,"coming of age, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13555136,Tweede graad,9789059083806,
Rood weeskind,Begga Dom,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13569572,Eerste graad,9789044816105,
Mooier dan de vlek,Karla Stoefs,"familie, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/13569705,Tweede graad,9789059082854,
Het rode korenveld,Mo Yan,"historisch, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/13589901,Derde graad,9789035113169,
Dani Bennoni: lang zal hij leven,Bart Moeyaert,"familie, coming of age, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13608309,Eerste graad,9789045101453,
De troost van de filosofie,Alain de Botton,"filosofie, non-fictie, essay",Nederlandstalige fictie,https://www.goodreads.com/book/show/13608414,Derde graad,9789045004006,
Onder de banyanboom,Gerda van Erkel,"avontuur, vriendschap, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/13625370,Eerste graad,9789059084292,
Honden van Aktaioon,Anthony Horowitz,"mythologie, young adult, avontuur",Boektoppers,https://www.goodreads.com/book/show/13634981,Eerste graad,9789050163293,
Rode Sneeuw,Jan De Leeuw,"spanning, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13635567,Tweede graad,9789059082434,
Lara & Rebecca: in de schaduw van het gele huis,Kathleen Vereecken,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/13636006,Eerste graad,9789045103853,
De meisjesschilder,Monika Feth,"spanning, mysterie, psychologisch",Boektoppers,https://www.goodreads.com/book/show/13645849,Tweede graad,9789044806373,
De meisje,Jaouad Alloul,"autobiografie, coming of age, queer, romance, identiteit",Boektoppers,https://www.goodreads.com/book/show/13645849,Derde graad,9789401491358,
Bruiloft aan zee,Abdelkader Benali,"familie, migratie, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/1421420,Derde graad,9789050000185,
"De Outsiders (Broederband, #1)",John Flanagan,"avontuur, vriendschap, fantasy",Boektoppers,https://www.goodreads.com/book/show/14435266,Eerste graad,9789025751142,
KID,Jelmer Soes,"young adult, identiteit, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/144551757,Tweede graad,9789045128252,
Zout van de zee,Ruta Sepetys,"avontuur, historisch, oorlog, spanning, migratie, young adult, bekroond",Boektoppers,https://www.goodreads.com/book/show/146517361,Derde graad,9789041715012,
Eilandgasten,Vonne van der Meer,"familie, drama, verlies",Boektoppers,https://www.goodreads.com/book/show/1498200,Tweede graad,9789025497736,
Zack,William Bell,"graphic novel, panning, misdaad, vriendschap",Graphic novels,https://www.goodreads.com/book/show/152509315,Tweede graad,9789031713806,
"Raak me dan, als je kan",Siska Goeminne,"spanning, mysterie, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/15704461,Eerste graad,9789058387653,
Khalid,Unknown Author,"migratie, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/157100056,Tweede graad,9789021483597,
Dans in de branding,Unknown Author,"historisch, familie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/157101357,Eerste graad,9789059081062,
Een rugzak vol,Gerda van Erkel,"familie, school, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/157105100,Eerste graad,9789059082069,
Een jongen,Sonya Hartnett,"coming of age, familie, drama",Boektoppers,https://www.goodreads.com/book/show/157106666,Tweede graad,9789052407210,
Geheimen Van De Wijde Zee,Noëlle Elpers,"avontuur, mysterie, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/15712970,Eerste graad,9789000035250,
De schat van Util,Roger H. Schoemans,"avontuur, mysterie, historisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/15712993,Eerste graad,9789059080584,
De man bij het meer,Ed Franck,"spanning, mysterie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/15713030,Tweede graad,9789045102368,
No en ik,Delphine de Vigan,"mental health, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/15741010,Derde graad,9789045800721,
Hysterische jachtgodinnen,Anne Rutyne,"avontuur, mysterie, fantasie",Nederlandstalige fictie,https://www.goodreads.com/book/show/15821744,Eerste graad,9789065657695,
William S.,Anthony Horowitz,"mysterie, spanning, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/15835974,Tweede graad,9789057201028,
